"Sample_ID"	"Sequencing_Project"	"Filename"	"Extraction"	"Total_Counts"	"Remove"
"magic.2516"	"Knights_Project_077_Pool3"	"magic.2516.PS.S321.001.fa"	"PowerSoil"	852226	1
"magic.2522"	"Knights_Project_077_Pool1"	"magic.2522.S56.001.fa"	"PowerSoilPro"	1554489	0
"magic.2522"	"Knights_Project_077_Pool3"	"magic.2522.PS.S322.001.fa"	"PowerSoil"	1050204	1
"magic.2529"	"Knights_Project_077_Pool1"	"magic.2529.S68.001.fa"	"PowerSoilPro"	826694	0
"magic.2529"	"Knights_Project_077_Pool3"	"magic.2529.PS.S323.001.fa"	"PowerSoil"	1253182	1
"magic.2539"	"Knights_Project_077_Pool1"	"magic.2539.S79.001.fa"	"PowerSoilPro"	898246	0
"magic.2539"	"Knights_Project_077_Pool3"	"magic.2539.PS.S324.001.fa"	"PowerSoil"	324308	1
"magic.2562"	"Knights_Project_077_Pool1"	"magic.2562.S91.001.fa"	"PowerSoilPro"	1398176	0
"magic.2562"	"Knights_Project_077_Pool3"	"magic.2562.PS.S325.001.fa"	"PowerSoil"	1136413	1
"magic.2704"	"Knights_Project_069"	"magic.2704.MagAE.S78.001.fa"	"MagAttract"	75844	1
"magic.2704"	"Knights_Project_069"	"magic.2704.PE.S46.001.fa"	"PowerSoil"	87082	0
"magic.2880"	"Knights_Project_068_Pool4"	"magic.2880.H03.S931.001.fa"	"PowerSoil"	1974949	0
"magic.2880"	"Knights_Project_068_Pool4"	"magic.2880.G03.S919.001.fa"	"PowerSoil"	1642676	1
"magic.6240"	"Knights_Project_077_Pool3"	"magic.6240.S155.001.fa"	"PowerSoilPro"	1198779	0
"magic.6240"	"Knights_Project_077_Pool3"	"magic.6240.PS.S326.001.fa"	"PowerSoil"	1019189	1
"magic.6242"	"Knights_Project_077_Pool3"	"magic.6242.PS.S327.001.fa"	"PowerSoil"	1019885	0
"magic.6242"	"Knights_Project_077_Pool3"	"magic.6242.S167.001.fa"	"PowerSoilPro"	1299919	1
"magic.6243"	"Knights_Project_077_Pool3"	"magic.6243.PS.S328.001.fa"	"PowerSoil"	909729	0
"magic.6243"	"Knights_Project_077_Pool3"	"magic.6243.S190.001.fa"	"PowerSoilPro"	1145292	1
"magic.6245"	"Knights_Project_077_Pool3"	"magic.6245.S201.001.fa"	"PowerSoilPro"	1345578	0
"magic.6245"	"Knights_Project_077_Pool3"	"magic.6245.PS.S329.001.fa"	"PowerSoil"	822834	1
"magic.6259"	"Knights_Project_077_Pool3"	"magic.6259.S120.001.fa"	"PowerSoilPro"	1157031	0
"magic.6259"	"Knights_Project_077_Pool3"	"magic.6259.PS.S330.001.fa"	"PowerSoil"	849538	1
"magic.6267"	"Knights_Project_077_Pool3"	"magic.6267.PS.S331.001.fa"	"PowerSoil"	892142	0
"magic.6267"	"Knights_Project_077_Pool3"	"magic.6267.S132.001.fa"	"PowerSoilPro"	951530	1
"magic.6269"	"Knights_Project_077_Pool3"	"magic.6269.S144.001.fa"	"PowerSoilPro"	1120786	0
"magic.6269"	"Knights_Project_077_Pool3"	"magic.6269.PS.S332.001.fa"	"PowerSoil"	787676	1
"magic.6275"	"Knights_Project_077_Pool3"	"magic.6275.PS.S333.001.fa"	"PowerSoil"	1112105	0
"magic.6275"	"Knights_Project_077_Pool3"	"magic.6275.S156.001.fa"	"PowerSoilPro"	1451961	1
"magic.6276"	"Knights_Project_077_Pool3"	"magic.6276.S168.001.fa"	"PowerSoilPro"	1096900	0
"magic.6276"	"Knights_Project_077_Pool3"	"magic.6276.PS.S334.001.fa"	"PowerSoil"	847856	1
"magic.6279"	"Knights_Project_077_Pool3"	"magic.6279.PS.S335.001.fa"	"PowerSoil"	856336	0
"magic.6279"	"Knights_Project_077_Pool3"	"magic.6279.S179.001.fa"	"PowerSoilPro"	1088537	1
"magic.6280"	"Knights_Project_077_Pool3"	"magic.6280.PS.S336.001.fa"	"PowerSoil"	1003337	0
"magic.6280"	"Knights_Project_077_Pool3"	"magic.6280.S191.001.fa"	"PowerSoilPro"	1028890	1
"magic.6281"	"Knights_Project_077_Pool3"	"magic.6281.S202.001.fa"	"PowerSoilPro"	1557981	0
"magic.6281"	"Knights_Project_077_Pool3"	"magic.6281.PS.S337.001.fa"	"PowerSoil"	1139134	1
"magic.6284"	"Knights_Project_077_Pool3"	"magic.6284.PS.S338.001.fa"	"PowerSoil"	978898	0
"magic.6284"	"Knights_Project_077_Pool3"	"magic.6284.S121.001.fa"	"PowerSoilPro"	1018849	1
"magic.6286"	"Knights_Project_077_Pool3"	"magic.6286.PS.S339.001.fa"	"PowerSoil"	1022031	0
"magic.6286"	"Knights_Project_077_Pool3"	"magic.6286.S133.001.fa"	"PowerSoilPro"	1431501	1
"magic.6291"	"Knights_Project_077_Pool3"	"magic.6291.PS.S340.001.fa"	"PowerSoil"	1004894	0
"magic.6291"	"Knights_Project_077_Pool3"	"magic.6291.S145.001.fa"	"PowerSoilPro"	1761935	1
"magic.6293"	"Knights_Project_077_Pool3"	"magic.6293.PS.S341.001.fa"	"PowerSoil"	789062	0
"magic.6293"	"Knights_Project_077_Pool3"	"magic.6293.S157.001.fa"	"PowerSoilPro"	846011	1
"magic.6295"	"Knights_Project_077_Pool3"	"magic.6295.PS.S342.001.fa"	"PowerSoil"	1107320	0
"magic.6295"	"Knights_Project_077_Pool3"	"magic.6295.S169.001.fa"	"PowerSoilPro"	1247854	1
"magic.6298"	"Knights_Project_077_Pool3"	"magic.6298.S180.001.fa"	"PowerSoilPro"	995805	0
"magic.6298"	"Knights_Project_077_Pool3"	"magic.6298.PS.S343.001.fa"	"PowerSoil"	965022	1
"magic.6300"	"Knights_Project_077_Pool3"	"magic.6300.PS.S344.001.fa"	"PowerSoil"	882745	0
"magic.6300"	"Knights_Project_077_Pool3"	"magic.6300.S192.001.fa"	"PowerSoilPro"	831964	1
"magic.6303"	"Knights_Project_077_Pool3"	"magic.6303.S203.001.fa"	"PowerSoilPro"	1242531	0
"magic.6303"	"Knights_Project_077_Pool3"	"magic.6303.PS.S345.001.fa"	"PowerSoil"	927190	1
"magic.6306"	"Knights_Project_077_Pool3"	"magic.6306.PS.S346.001.fa"	"PowerSoil"	1069478	0
"magic.6306"	"Knights_Project_077_Pool3"	"magic.6306.S122.001.fa"	"PowerSoilPro"	1091632	1
"magic.6309"	"Knights_Project_077_Pool3"	"magic.6309.S134.001.fa"	"PowerSoilPro"	767699	0
"magic.6309"	"Knights_Project_077_Pool3"	"magic.6309.PS.S347.001.fa"	"PowerSoil"	568104	1
"magic.6312"	"Knights_Project_077_Pool3"	"magic.6312.S146.001.fa"	"PowerSoilPro"	1013018	0
"magic.6312"	"Knights_Project_077_Pool3"	"magic.6312.PS.S348.001.fa"	"PowerSoil"	951264	1
"magic.6314"	"Knights_Project_077_Pool3"	"magic.6314.S158.001.fa"	"PowerSoilPro"	1015781	0
"magic.6314"	"Knights_Project_077_Pool3"	"magic.6314.PS.S349.001.fa"	"PowerSoil"	990138	1
"magic.6315"	"Knights_Project_077_Pool3"	"magic.6315.S170.001.fa"	"PowerSoilPro"	1167256	0
"magic.6315"	"Knights_Project_077_Pool3"	"magic.6315.PS.S350.001.fa"	"PowerSoil"	836695	1
